location,package,name,nvloc,cloc,cd
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\NumberTickUnitSource.java,org.jfree.chart.axis,NumberTickUnitSource,225,39,0.17333333333333334
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\package-info.java,org.jfree.chart.axis,package-info,4,3,0.75
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\PeriodAxis.java,org.jfree.chart.axis,PeriodAxis,1098,41,0.037340619307832425
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\PeriodAxisLabelInfo.java,org.jfree.chart.axis,PeriodAxisLabelInfo,320,39,0.121875
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\QuarterDateFormat.java,org.jfree.chart.axis,QuarterDateFormat,177,39,0.22033898305084745
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\StandardTickUnitSource.java,org.jfree.chart.axis,StandardTickUnitSource,119,41,0.3445378151260504
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\SubCategoryAxis.java,org.jfree.chart.axis,SubCategoryAxis,397,38,0.09571788413098237
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\SymbolAxis.java,org.jfree.chart.axis,SymbolAxis,681,38,0.055800293685756244
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\Tick.java,org.jfree.chart.axis,Tick,157,38,0.24203821656050956
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\TickType.java,org.jfree.chart.axis,TickType,45,38,0.8444444444444444
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\TickUnit.java,org.jfree.chart.axis,TickUnit,167,47,0.281437125748503
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\TickUnits.java,org.jfree.chart.axis,TickUnits,195,58,0.29743589743589743
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\TickUnitSource.java,org.jfree.chart.axis,TickUnitSource,74,43,0.581081081081081
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\Timeline.java,org.jfree.chart.axis,Timeline,133,59,0.44360902255639095
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\ValueAxis.java,org.jfree.chart.axis,ValueAxis,1524,44,0.028871391076115485
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\ValueTick.java,org.jfree.chart.axis,ValueTick,123,38,0.3089430894308943
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\block\AbstractBlock.java,org.jfree.chart.block,AbstractBlock,585,39,0.06666666666666667
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\block\Arrangement.java,org.jfree.chart.block,Arrangement,68,39,0.5735294117647058
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\block\Block.java,org.jfree.chart.block,Block,101,40,0.39603960396039606
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\block\BlockBorder.java,org.jfree.chart.block,BlockBorder,214,38,0.17757009345794392
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\block\BlockContainer.java,org.jfree.chart.block,BlockContainer,254,39,0.15354330708661418
