C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\entity\XYItemEntity.java,org.jfree.chart.entity,XYItemEntity,1,153
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\AnnotationChangeEvent.java,org.jfree.chart.event,AnnotationChangeEvent,2,66
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\AnnotationChangeListener.java,org.jfree.chart.event,AnnotationChangeListener,1,50
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\AxisChangeEvent.java,org.jfree.chart.event,AxisChangeEvent,2,62
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\AxisChangeListener.java,org.jfree.chart.event,AxisChangeListener,1,55
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\ChartChangeEvent.java,org.jfree.chart.event,ChartChangeEvent,9,115
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\ChartChangeEventType.java,org.jfree.chart.event,ChartChangeEventType,1,47
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\ChartChangeListener.java,org.jfree.chart.event,ChartChangeListener,2,52
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\ChartProgressEvent.java,org.jfree.chart.event,ChartProgressEvent,3,115
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\ChartProgressEventType.java,org.jfree.chart.event,ChartProgressEventType,2,47
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\ChartProgressListener.java,org.jfree.chart.event,ChartProgressListener,2,49
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\MarkerChangeEvent.java,org.jfree.chart.event,MarkerChangeEvent,2,63
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\MarkerChangeListener.java,org.jfree.chart.event,MarkerChangeListener,1,50
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\package-info.java,org.jfree.chart.event,package-info,6
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\PlotChangeEvent.java,org.jfree.chart.event,PlotChangeEvent,3,64
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\PlotChangeListener.java,org.jfree.chart.event,PlotChangeListener,2,50
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\RendererChangeEvent.java,org.jfree.chart.event,RendererChangeEvent,2,87
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\RendererChangeListener.java,org.jfree.chart.event,RendererChangeListener,1,49
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\TitleChangeEvent.java,org.jfree.chart.event,TitleChangeEvent,3,61
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\event\TitleChangeListener.java,org.jfree.chart.event,TitleChangeListener,2,50
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\imagemap\DynamicDriveToolTipTagFragmentGenerator.java,org.jfree.chart.imagemap,DynamicDriveToolTipTagFragmentGenerator,2,86
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\imagemap\ImageMapUtils.java,org.jfree.chart.imagemap,ImageMapUtils,7,239
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\imagemap\OverLIBToolTipTagFragmentGenerator.java,org.jfree.chart.imagemap,OverLIBToolTipTagFragmentGenerator,3,69
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\imagemap\package-info.java,org.jfree.chart.imagemap,package-info,4
